厦门感光材料厂提前竣工投产,1989-01-05,1989-01,科技
结网倒卖木材的中南公司,1989-01-18,1989-01,科技
广州全面推行公开办事制度,1989-01-30,1989-01,科技
“靠水吃水”的个体船户,1989-05-20,1989-05,科技
举行中外记者新闻发布会,1989-05-24,1989-05,科技
读者反映农业出版物难买  出版社抱怨发行渠道不畅,1989-07-05,1989-07,科技
浙江“三资”企业又增百余家,1989-07-15,1989-07,科技
大象将从“象牙海岸”消失,1989-07-18,1989-07,科技
国家机关公文将统一格式,1989-07-20,1989-07,科技
东矿区建立党员教育网络,1989-09-11,1989-09,科技
李美玉和人工晶体植入术,1989-09-27,1989-09,科技
国家决定建两个重点实验室,1989-11-11,1989-11,科技
三十七万个技改项目完成,1989-11-17,1989-11,科技
全国晚报将举办短新闻大赛,1989-12-06,1989-12,科技
中国青年出版社  方向端正好书多,1989-12-07,1989-12,科技
我二·一六米望远镜获成功,1989-12-23,1989-12,科技
