香港各界赈灾捐款近七亿港元,2005-01-09,2005-01,时政
海关全面提高把关服务能力,2005-01-14,2005-01,时政
我正尽一切努力解救人质,2005-01-22,2005-01,时政
驻伊美军一大型直升机坠毁,2005-01-27,2005-01,时政
我国战略性矿产勘查取得重要成果,2005-01-29,2005-01,时政
王巨禄当选黑龙江省政协主席,2005-01-29,2005-01,时政
伊拉克大选结束较量刚开,2005-02-02,2005-02,时政
首都各民族人士迎春茶话会举行,2005-02-02,2005-02,时政
中共中央举行党外人士迎春座谈会,2005-02-05,2005-02,时政
我国对外直接投资累计近370亿美元,2005-02-08,2005-02,时政
印尼公布地震海啸损失新情况死亡和失踪者逾23万,2005-02-15,2005-02,时政
吉林：政府会议今年至少减一成,2005-02-23,2005-02,时政
欧盟委员会同意保罗两国入盟,2005-02-24,2005-02,时政
金正日访问俄驻朝使馆,2005-03-10,2005-03,时政
贾庆林会见朝鲜总理朴凤柱,2005-03-24,2005-03,时政
伊拉克一高级军官遭绑架,2005-04-06,2005-04,时政
尼日利亚向腐败宣战（新闻脉络）,2005-04-15,2005-04,时政
中国地震局转变机关作风见成效（实践“三个代表”重要思想保持共产党员先进性）,2005-04-18,2005-04,时政
江苏部分地区遭龙卷风袭击,2005-04-22,2005-04,时政
黄金周前三天接待游客逾910万人次,2005-05-04,2005-05,时政
疫苗流通和预防接种管理条例,2005-05-20,2005-05,时政
铁路医院整建制移交基本完成,2005-05-30,2005-05,时政
“非洲形象”不容歪曲（国际论坛）,2005-06-10,2005-06,时政
韩启德会见菲律宾客人,2005-06-16,2005-06,时政
《陈云与中央纪委》一书出版,2005-06-22,2005-06,时政
内贾德说要建强大伊斯兰国家,2005-06-27,2005-06,时政
新党纪念抗战胜利60周年大陆访问团7月6日至13日来大陆访问,2005-06-30,2005-06,时政
伊总统哀悼遇害外交官,2005-07-10,2005-07,时政
颁布施行《中国人民解放军绿化条例》,2005-07-29,2005-07,时政
中央军委杨业功同志先进事迹报告会在社会各界引起热烈反响（实践“三个代表”重要思想保持共产党员先进性）,2005-08-14,2005-08,时政
秘鲁新外长宣布辞职,2005-08-15,2005-08,时政
爱沙尼亚领导人会见李肇星,2005-08-18,2005-08,时政
宋楚瑜将赴上海出席两岸民间菁英论坛,2005-09-06,2005-09,时政
论东京审判（纪念中国人民抗日战争暨世界反法西斯战争胜利60周年学术研讨会发言⑧）,2005-09-19,2005-09,时政
中国—东盟经贸合作步入黄金发展期,2005-10-09,2005-10,时政
携手合作促进世界经济平衡有序发展（对话）,2005-10-14,2005-10,时政
海外华侨华人谴责小泉参拜靖国神社,2005-10-20,2005-10,时政
从台湾光复看台湾的法律地位,2005-10-25,2005-10,时政
国家将在各大区设环保派出机构,2005-11-02,2005-11,时政
唐家璇会见日本关西地区访华团,2005-11-04,2005-11,时政
第五轮六方会谈第一阶段会议结束闭幕式各方鼓掌通过《主席声明》,2005-11-12,2005-11,时政
国家环保总局通报七起破坏自然保护区案件,2005-11-16,2005-11,时政
越南北部发现禽流感疫情  乌克兰4村庄家禽大批死亡,2005-12-08,2005-12,时政
李肇星出席中国与东盟外长会议,2005-12-10,2005-12,时政
何勇会见马其顿客人,2005-12-10,2005-12,时政
伊朗外交立场渐趋强硬（新闻脉络）,2005-12-17,2005-12,时政
广东兴宁矿难有关责任人受处理（连续报道）,2005-12-26,2005-12,时政
团中央举行第二届中国青年创业周,2005-12-31,2005-12,时政
