台湾民航局飞行员韦大卫等驾机起义回到祖国大陆,1956-01-09,1956-01,时政
我国试制滑翔机成功,1956-01-12,1956-01,时政
民主同盟第二次全国代表大会闭幕,1956-02-21,1956-02,时政
赫鲁晓夫同志接见中国共产党代表团,1956-03-01,1956-03,时政
中华人民共和国外交部发表声明揭露美国国务院在３月６日的声明中对事实的任意歪曲,1956-03-12,1956-03,时政
哀悼贝鲁特同志逝世中国致公党的唁电,1956-03-15,1956-03,时政
哀悼贝鲁特同志逝世中国民主促进会的唁电,1956-03-15,1956-03,时政
鸠山答复关于中日关系等问题的质询,1956-03-16,1956-03,时政
山东文登县的文教、卫生等部门修订计划尽量减少农业合作社非生产性开支,1956-03-25,1956-03,时政
长江流域大规模勘测工作全面展开,1956-03-25,1956-03,时政
苏联政府关于裁军问题的新建议的内容,1956-04-01,1956-04,时政
菲将成立一个国会特别委员会审查美国和菲律宾间现行条约,1956-04-12,1956-04,时政
全国干部文化教育会议讨论今后十二年干部文化教育事业规划,1956-04-19,1956-04,时政
吴拉茂大使在昆明举行招待会庆祝中缅通航,1956-04-21,1956-04,时政
胡志明答英国“每日快报”记者问,1956-04-27,1956-04,时政
法方片面宣布不再出席越南中央联合停战委员会会议越方认为法方和南越应保持委员会正常活动,1956-05-04,1956-05,时政
印度计划委员会决定优先发展重工业,1956-05-10,1956-05,时政
我国进出口公司代表应邀参观西德各工业区,1956-05-11,1956-05,时政
亚非学生会议决定成立五个委员会,1956-06-07,1956-06,时政
苏联和平利用原子能科学技术展览会开幕  中国科学院院长郭沫若举行庆祝宴会,1956-06-16,1956-06,时政
匈逮捕两名武装特务,1956-07-02,1956-07,时政
日本造船工人罢工要求发给夏季津贴,1956-07-03,1956-07,时政
突尼斯新宪政党声明支持阿尔及利亚人民斗争,1956-07-08,1956-07,时政
中国人民保卫世界和平委员会等三团体电贺禁止原子弹氢弹世界大会,1956-08-06,1956-08,时政
政协四川省委员会视察县市政协工作,1956-08-14,1956-08,时政
刘瑞龙设宴欢送印度考察农业计划及技术代表团,1956-08-17,1956-08,时政
德国统一社会党谴责西德当局迫害德共  号召巩固民主德国反击阿登纳集团,1956-08-28,1956-08,时政
巴拿马运河激荡着反美的风潮,1956-09-08,1956-09,时政
铁托接见波兰议会代表团,1956-09-14,1956-09,时政
在中国共产党第八次全国代表大会上中国革命的历史教训  中共中央政治局委员林伯渠同志的发言,1956-09-23,1956-09,时政
日本青年与妇女访华代表团到北京,1956-10-01,1956-10,时政
马茂德重申印度对苏伊士问题的主张坚持通过谈判和平解决争端  梅农同纳赛尔举行会谈,1956-10-07,1956-10,时政
阿查里雅首相到杭州参观,1956-10-11,1956-10,时政
南军事代表团到南京等地参观,1956-10-12,1956-10,时政
匈布达佩斯市议会执行委员会代表团离京回国,1956-10-15,1956-10,时政
香港“文汇报”发表社论抗议武装搜查学校和工会,1956-10-19,1956-10,时政
孙中山先生诞辰九十周年纪念筹委会会议  讨论纪念孙中山先生的工作计划  决定邀请二十多个国家的外宾和广泛约请海外华侨参加纪念,1956-10-27,1956-10,时政
波兰统一工人党中央发表告人民书  号召人民粉碎挑拨苏波联盟的阴谋    并谴责反革命势力把匈牙利国家推向灾难,1956-11-04,1956-11,时政
罗马尼亚工人党、政府和议会  祝贺匈牙利革命政府成立  欢庆匈牙利人民在苏军援助下粉碎反革命势力,1956-11-07,1956-11,时政
印度建议联大讨论中国代表权问题  认为只有中华人民共和国才能代表中国,1956-11-14,1956-11,时政
政协四川省委员会举行座谈会交流工作经验,1956-11-20,1956-11,时政
侵略者在埃及继续集结军队哈马舍尔德要英法说明底细  并要求以色列表明对撤军的态度,1956-11-29,1956-11,时政
德里四万市民举行盛大集会欢迎达赖喇嘛和班禅额尔德尼  普拉沙德总统举行宴会招待他们,1956-12-04,1956-12,时政
铁托同志在普拉发表的演说全文（之二）,1956-12-12,1956-12,时政
使党的组织和活动符合新任务隆哥谈意共新党章草案,1956-12-17,1956-12,时政
纳赛尔赞扬塞得港英雄事迹,1956-12-28,1956-12,时政
