厄瓜多尔大批陆地巨龟死亡,1997-01-02,1997-01,时政
法国总统希拉克会见钱其琛,1997-01-12,1997-01,时政
吴仪与奥经济部长会谈,1997-01-17,1997-01,时政
胡锦涛会见哥自由党领导人,1997-01-23,1997-01,时政
河西走廊近六万吨物资待运（呼吁）,1997-01-29,1997-01,时政
《薛暮桥回忆录》座谈会在京召开,1997-02-04,1997-02,时政
南联盟总统强调维护国家稳定,1997-02-08,1997-02,时政
布赫会见莫桑比克客人,1997-02-19,1997-02,时政
哈土签署经贸合作文件,1997-03-10,1997-03,时政
一定要坚持独立自主的和平外交政策,1997-04-02,1997-04,时政
美士兵再次伤害日本妇女,1997-04-05,1997-04,时政
泰国总理结束访华,1997-04-06,1997-04,时政
俄与北约可能于５月底签署协议,1997-04-11,1997-04,时政
部分城市将实行环境污染周报预报,1997-04-19,1997-04,时政
扎外长对国内和平表示乐观,1997-04-21,1997-04,时政
内塔尼亚胡免受起诉,1997-04-22,1997-04,时政
江主席与桑吉内蒂总统会谈,1997-04-22,1997-04,时政
中国乒乓球队抵曼城投入训练,1997-04-23,1997-04,时政
法代表要求以色列从黎南部撤军,1997-04-23,1997-04,时政
朱良会见奥地利国防部长,1997-05-05,1997-05,时政
《死海残卷》与犹太文化,1997-05-09,1997-05,时政
第九届全国人民代表大会少数民族代表名额分配方案,1997-05-10,1997-05,时政
江主席致电伊总统表示慰问,1997-05-12,1997-05,时政
波黑多国部队没收一批穆军武器,1997-05-15,1997-05,时政
我大使举行招待会庆祝中斯建交五周年,1997-05-15,1997-05,时政
图季曼再次当选克罗地亚总统,1997-06-18,1997-06,时政
日本发生强烈地震,1997-06-26,1997-06,时政
朝鲜隆重纪念金日成逝世三周年,1997-07-09,1997-07,时政
西非国家和塞政变当局达成停火协议,1997-07-20,1997-07,时政
迟浩田会见卡特,1997-07-25,1997-07,时政
世界中学生数学冠军赛在阿举办,1997-07-28,1997-07,时政
绿党议员反对在欧盟国家主办奥运会,1997-07-29,1997-07,时政
海内外华人水利专家座谈会在京举行,1997-07-30,1997-07,时政
全国整顿会计秩序初见成效,1997-08-06,1997-08,时政
美为何恢复对拉美军售（新闻分析）,1997-08-11,1997-08,时政
领导干部要当好『讲文明树新风』表率,1997-08-26,1997-08,时政
国务院提请人大常委会审议  防御与减轻地震灾害法草案,1997-08-26,1997-08,时政
以决定进一步放松对巴自治区封锁,1997-09-02,1997-09,时政
图为我驻几内亚大使陪同几内亚总统孔戴视察中几农业合作项目,1997-09-12,1997-09,时政
何鲁丽会见美国客人,1997-09-29,1997-09,时政
印第一颗遥感卫星发射升空,1997-09-30,1997-09,时政
波总统责成“团结选举行动”组阁,1997-10-01,1997-10,时政
乔石会见比利时国防大臣,1997-10-15,1997-10,时政
用邓小平理论指导民族宗教工作,1997-10-19,1997-10,时政
东盟将加速经济一体化,1997-10-20,1997-10,时政
吴邦国离京赴亚洲五国访问,1997-10-22,1997-10,时政
全国党史研究室主任会议在宁举行,1997-10-28,1997-10,时政
江主席出席美国会早餐会并致辞,1997-10-31,1997-10,时政
傅全有同尼日尔客人会谈,1997-11-18,1997-11,时政
李瑞环抵胡志明市访问,1997-12-10,1997-12,时政
国企改革与发展高层研讨会举行,1997-12-16,1997-12,时政
江泽民等出席’９８新年京剧晚会,1997-12-31,1997-12,时政
