京郊出现二十多家“植物医院”,1991-01-26,1991-01,社会
吉林四万多农民获技术职称,1991-01-27,1991-01,社会
河南黄牛存栏连续四年第一,1991-02-03,1991-02,社会
山东武警总队为基层办实事,1991-02-04,1991-02,社会
九位优秀妇女在京介绍建设祖国动人事迹,1991-03-04,1991-03,社会
武警西藏总队维护民族团结,1991-03-23,1991-03,社会
兰州军区官兵帮助地方建设,1991-03-23,1991-03,社会
天津和平区积极选用女干部,1991-04-02,1991-04,社会
亚运村将栽花草林木近千亩,1991-04-08,1991-04,社会
百位将军在京同观看现代豫剧《飞夺泸定桥》,1991-04-08,1991-04,社会
国际少林武术节将在郑州举行,1991-04-12,1991-04,社会
扳手腕比赛正在国内悄然兴起,1991-04-27,1991-04,社会
驻少林寺某部教育官兵爱军习武,1991-04-30,1991-04,社会
我国学生在美国大学生数学模型竞赛中获奖,1991-05-06,1991-05,社会
三门峡举办黄河游五周年活动,1991-05-13,1991-05,社会
北京卫戍区医院视患者如亲人,1991-05-14,1991-05,社会
大熊猫叫声多达十六种,1991-05-19,1991-05,社会
一○七医院党委重视知识分子工作,1991-06-06,1991-06,社会
二八一医院党委被评为先进,1991-06-09,1991-06,社会
莱州研制成功高效对虾生长剂,1991-06-11,1991-06,社会
济南军区某师帮驻地开展社教,1991-06-15,1991-06,社会
沈阳拍卖行收购旧货受欢迎,1991-07-19,1991-07,社会
某医院建起十二个沙漠医疗所,1991-07-27,1991-07,社会
百余名税务“三八”红旗手受表彰,1991-08-03,1991-08,社会
香格里拉饭店举行义卖募捐活动,1991-08-06,1991-08,社会
江西重视优抚法规建设  涌现二十多万服务组织,1991-08-08,1991-08,社会
蚌埠铁路公安干警奋力抗洪抢险,1991-08-24,1991-08,社会
贺龙铜像在方山县揭幕,1991-09-03,1991-09,社会
飞身江中救儿童,1991-09-03,1991-09,社会
济南军区千名老干部下基层讲传统,1991-09-10,1991-09,社会
江苏沛县注重任用女干部,1991-09-10,1991-09,社会
新疆一串葡萄重十三公斤,1991-10-04,1991-10,社会
咸阳司家沟出土西汉初年文物,1991-10-05,1991-10,社会
大连制成千手千眼观音青铜雕像,1991-10-08,1991-10,社会
湖州重视发展生产一线党员,1991-10-11,1991-10,社会
醋酸保健饮料风行,1991-10-19,1991-10,社会
兰州军区某部老战士心系灾区,1991-11-07,1991-11,社会
新疆军区某部为驻地建设作贡献,1991-11-17,1991-11,社会
交通民警钟田力模范执勤受表彰,1991-11-22,1991-11,社会
环卫职工思想政治工作研究会成立,1991-11-22,1991-11,社会
鄂陕邻村青年结亲  加快农业科技传播,1991-12-17,1991-12,社会
连云港市新浦汽车站 以雷锋精神建站育人,1991-12-20,1991-12,社会
屈原故里出奇事  冬天发现桃花鱼,1991-12-21,1991-12,社会
购方所需药种已寄出,1991-12-28,1991-12,社会
民警巫忠孝勇斗六歹徒,1991-12-29,1991-12,社会
